SpeciesCode,year1975,year1976,year1977,year1978,year1979,year1980,year1981,year1982,year1983,year1984,year1987,year1988,year1989,year1990,year1991,year1992,year1993,year1994,year1995,year1996,year1997,year1998,year1999,year2000,year2001,year2002,year2003,year2004,year2005,year2006,year2007,year2008,year2009,year2010,year2011,year2012,year2013,year2014,year2015
AMEREEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0
BANKILLI,0,0.03,0.89,0,0,0,0,0.11,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.04,0.56,4.4,3.11,3.04,1.89,2.35,3.59,1.78
BKNODACE,0,0,0.04,0,0.03,0.17,0,0,0,0,0.42,0.11,0,0,0,0,0,0,2.78,8.96,0.89,12.44,0,6.33,0,0,0,0,0,0.14,0,0.07,0,0,0.11,0,0,0,0.04
BLBKHERR,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLKCRAPI,0.25,0.13,0.3,0.18,0.44,0,0.72,0.15,0,0,0.27,0,0.48,0.15,0,0,0,0.04,0,0.11,0,0.03,0,0.1,0.15,0,0.08,0.33,0.33,0.17,0,0.04,0,0,0,0,0,0,0.04
BLUEGILL,1.2,0.3,9.7,1.44,11.56,0.33,1.67,0.11,0.67,1.26,1.96,0.89,0.44,0.19,0.28,1.26,0.59,2.38,0.04,0.7,0.15,0.5,0,5.23,0.08,1.07,1.73,1,0.74,2.07,0,2.3,1,0.11,1.85,0.89,0.88,0.22,0.22
BLUNMINN,8.85,11.03,52.94,4.72,15.17,26.25,1.72,10.52,3.33,17.52,27.54,28.78,12.56,16.56,20.24,15.93,15.04,17.38,3.44,4.11,0.11,0,0.05,3.2,9.54,20.33,44.92,12.15,6.04,52.03,25.52,32.7,18.12,31.52,28.11,21.85,37.65,6.33,21.07
BRWNBULL,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0.04,0,0.11,0.04,0.04,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0.08,0,0
CENSTROL,0,0.03,0,0.02,0.28,0.17,0,0,0,0.22,0.04,0.11,0,0,0,0,0.81,0,0,0,0,0.19,0.11,0.37,0.92,0.41,0.15,0.52,1.67,0.45,5.72,0.78,1.96,1.11,0.07,8.11,1.27,0.67,0.37
CHANCATF,0.1,0.8,0.76,0.04,0.31,0.42,0.44,0,0,0.04,7.65,0,0.04,2.22,0,0,0,0.21,0.15,0.04,0,0,0,0,0.58,0.04,0.12,0.04,0,2.1,0,0,0,0,0.11,0,0,0.04,0
CMLYSHIN,16.9,0.13,0.06,0.33,0.08,0.08,0,0,0.04,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0.12,0.19,0,0,0.37,0,0.15,0,0
COMMCARP,0,0,0.02,0.02,0.14,0,0,0,0,0,0,0.11,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0.32,0,0,0,0,0,0,0.07,0
COMSHINR,0.6,0,0.57,0.82,0.28,0.17,0,0.04,0,0.67,0.08,0.56,0,0,0,0,0.15,0.08,0,0.04,0.07,0,0,0,0,0.04,0.23,0.15,0,0,0,0.04,0.12,0.15,0,0,0,0,0
CREKCHUB,0,0.07,0.17,0,0.03,0.08,0,0,0,0.04,0,0,0,0.04,0,0,0.04,0,0,0.04,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRKCHBSK,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUTLMINW,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALLFISH,0.05,0,0,0.04,0.03,0.08,0,0,0,0,0,0,0.04,0.07,0,0,0,0,0.59,0.33,0.15,0.11,0.05,0.13,0.08,0.07,0,0,0.04,0.28,0,0,0.28,3.41,0.63,0.52,0.31,0.44,1.56
FANTDART,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
GIZZSHAD,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLDNSHRN,0,0,0.02,0.12,0,0.58,0,0,0,0.04,0,0,0.04,0.04,0,0,0,0,0.04,0,0,0.03,0,0,0,0,0.04,0,0.26,0.21,0,0,0,0,0,0,0,0.04,0
