SpeciesCode,Name
AMEREEL,American eel
BANKILLI,Banded killifish
BKNODACE,Blacknose dace
BLBKHERR,Blueback herring
BLKCRAPI,Black crappie
BLUEGILL,Bluegill
BLUNMINN,Bluntnose minnow
BRWNBULL,Brown bullhead
CENSTROL,Central stoneroller
CHANCATF,Channel catfish
CMLYSHIN,Comely shiner
COMMCARP,Common carp
COMSHINR,Common shiner
CREKCHUB,Creek chub
CRKCHBSK,Creek chubsucker
CUTLMINW,Cutlips minnow
FALLFISH,Fallfish
FANTDART,Fantail darter
GIZZSHAD,Gizzard shad
GLDNSHRN,Golden shiner
GLDRHORS,Golden redhorse
GOLDFISH,Goldfish
GRNDARTR,Greenside darter
GRSUNFSH,Green sunfish
HOGCHOKR,Hogchoker
LEARSUNF,Longear sunfish
LGMTHBAS,Largemouth bass
LONGDACE,Longnose dace
MARGMDTM,Margined madtom
MOSQFISH,Mosquitofish
MUMICHOG,Mummichog
NHOGSUKR,Northern hogsucker
PUMPSEED,Pumpkinseed
QUILLBCK,Quillback
REARSUNF,Redear sunfish
REDBRSUN,Redbreast sunfish
RIVRCHUB,River chub
RNBDARTR,Rainbow darter
ROCKBASS,Rock bass
ROSYDACE,Rosyside dace
ROSYSHIN,Rosyface shiner
SATFINSH,Satinfin shiner
SHDRHORS,Shorthead redhorse
SHLDDART,Shield darter
SILVMINN,Silver minnow
SJAWMINW,Silverjaw minnow
SMMTHBAS,Smallmouth bass
SPFNSHIN,Spotfin shiner
SPTLSHIN,Spottail shiner
SWMPDART,Swamp darter
SWSHINER,Swallowtail shiner
TESSDART,Tesselated darter
WHTCRAPI,White crappie
WHTSUCKR,White sucker
YLLWBULH,Yellow bullhead
